Grupo_Asesor,Estado,Cantidad
Asesores UCASAL (Central),Abierto,82553
Asesores UCASAL (Central),Desuscripto,187
Asesores UCASAL (Central),Interesado,38068
Asesores UCASAL (Central),No interesado,40609
Asesores UCASAL (Central),Pre Inscripción,1
Asesores UCASAL (Central),Solicita Admisión,2
Asesores UCASAL (Central),Solicitud creada,10971
Sedes / Delegaciones,Abierto,1644
Sedes / Delegaciones,Desuscripto,154
Sedes / Delegaciones,Interesado,16943
Sedes / Delegaciones,No interesado,14547
Sedes / Delegaciones,Pre Inscripción,5
Sedes / Delegaciones,Solicita Admisión,2
Sedes / Delegaciones,Solicitud creada,1313
Sistemas / Automatizado,No Especificado,187
